,mIOU,Speed (ms),background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tv
2007_000727.jpg,0.7257298827171326,0.0,0.9637327752850834,0.0,0.0,0.0,0.0,0.0,0.7857887954838314,0.634347168543102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_000762.jpg,0.6504241228103638,0.0,0.6856393850528748,0.0,0.0,0.0,0.0,0.8039906103286385,0.0,0.0,0.0,0.0,0.0,0.30775006362942225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_000783.jpg,0.8255762457847595,0.0,0.9679904949941467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_000799.jpg,0.820406436920166,0.0,0.9296860947831155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_000804.jpg,0.4660307466983795,0.0,0.9122261311310631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1876750700280112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_000830.jpg,0.4610298275947571,0.0,0.9347530793139174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4028776978417266,0.0,0.5064885785838962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_000837.jpg,0.7778065204620361,0.0,0.9936505143376665,0.0,0.0,0.0,0.5619625695498229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_000847.jpg,0.4091781973838806,0.0,0.7696160915374459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_000862.jpg,0.5081636309623718,0.0,0.9983057279223521,0.0,0.0,0.0,0.5705024311183144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_000925.jpg,0.931316077709198,0.0,0.9667519376303808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_000999.jpg,0.8796906471252441,0.0,0.9631441650849075,0.0,0.0,0.0,0.0,0.7569414780008543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_001154.jpg,0.7315947413444519,0.0,0.9923297834151011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_001175.jpg,0.30260810256004333,0.0,0.7872251941230424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_001239.jpg,0.8944942951202393,0.0,0.9498432180009959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8391454466983168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_001284.jpg,0.9084053039550781,0.0,0.9340091231626964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_001288.jpg,0.855161190032959,0.0,0.9616239288390733,0.7486984723051976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_001289.jpg,0.8732701539993286,0.0,0.9867555028053517,0.0,0.0,0.7597847358121331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_001299.jpg,0.8984551429748535,0.0,0.9469385527704005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8499717121843336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_001311.jpg,0.6451283097267151,0.0,0.8600696690331279,0.0,0.3922103861517976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_001321.jpg,0.8614721298217773,0.0,0.8500365764447696,0.0,0.0,0.0,0.0,0.0,0.0,0.8729076255424675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_001377.jpg,0.3319433927536011,0.0,0.9958301681595357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_001408.jpg,0.43033933639526367,0.0,0.526604286662527,0.0,0.0,0.0,0.0,0.8399847966552642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
